id,title,genres
299534,Avengers: Endgame,Adventure;Science Fiction;Action
10192,Shrek Forever After,Comedy;Adventure;Fantasy;Animation;Family
270303,It Follows,Horror;Mystery
1300116,Fall for Me,Romance;Thriller
447365,Guardians of the Galaxy Vol. 3,Science Fiction;Adventure;Action;Comedy
573435,Bad Boys: Ride or Die,Action;Comedy;Crime;Thriller;Adventure
1357633,Solo Leveling -ReAwakening-,Action;Adventure;Fantasy;Animation
1930,The Amazing Spider-Man,Action;Adventure;Science Fiction
930094,"Red, White & Royal Blue",Comedy;Romance
37165,The Truman Show,Comedy;Drama
97,Tron,Science Fiction;Action;Adventure
4248,Scary Movie 2,Comedy
1429750,Everybody Loves Me When I'm Dead,Thriller;Crime;Drama
18785,The Hangover,Comedy
324786,Hacksaw Ridge,Drama;History;War
424,Schindler's List,Drama;History;War
12153,White Chicks,Comedy;Crime
46529,I Am Number Four,Action;Thriller;Science Fiction;Adventure
90980,On Our Merry Way,Comedy;Music;Romance
144069,The Corruption,Drama;Romance
12201,Edge of Darkness,Crime;Drama;Mystery;Thriller
1289936,Downton Abbey: The Grand Finale,Drama;Romance
1367575,A Line of Fire,Action;Thriller
47971,xXx: Return of Xander Cage,Action;Adventure;Crime
1252428,Anaconda,Adventure;Horror;Thriller
508947,Turning Red,Animation;Family;Comedy;Fantasy
1124619,Bride Hard,Action;Comedy
207,Dead Poets Society,Drama
1375402,Bitter Souls,Horror
80295,14 and Under,Comedy;Romance
1241752,Rita,Drama
1190511,Sitaare Zameen Par,Comedy;Drama
39254,Real Steel,Action;Science Fiction;Drama
257344,Pixels,Action;Comedy;Science Fiction;Fantasy
653346,Kingdom of the Planet of the Apes,Science Fiction;Adventure;Action;Drama;Thriller
75656,Now You See Me,Thriller;Crime
270946,Penguins of Madagascar,Family;Animation;Adventure;Comedy
1289888,French Lover,Romance;Comedy
1307363,Sniper Elite: Nano Crisis,Action;Crime
1267628,Wahyu,Drama;Thriller
1447287,Donde tú quieras,Action
439079,The Nun,Horror
315162,Puss in Boots: The Last Wish,Animation;Adventure;Fantasy;Comedy;Family
74,War of the Worlds,Adventure;Thriller;Science Fiction
1813,The Devil's Advocate,Drama;Mystery;Horror
1064307,Spermageddon,Animation;Adventure;Fantasy;Comedy
131631,The Hunger Games: Mockingjay - Part 1,Science Fiction;Adventure;Thriller
1813,The Devil's Advocate,Drama;Mystery;Horror
1064307,Spermageddon,Animation;Adventure;Fantasy;Comedy
131631,The Hunger Games: Mockingjay - Part 1,Science Fiction;Adventure;Thriller
12,Finding Nemo,Animation;Family
818647,Through My Window,Romance;Drama;Comedy
293660,Deadpool,Action;Adventure;Comedy
10191,How to Train Your Dragon,Fantasy;Adventure;Animation;Family
588228,The Tomorrow War,Action;Science Fiction;Adventure
1157680,All Shall Be Well,Drama
49521,Man of Steel,Action;Adventure;Science Fiction
1290213,404 Run Run,Comedy;Horror
111,Scarface,Action;Crime;Drama
1111873,Abigail,Horror;Thriller
758923,Baaghi 4,Action;Thriller;Drama;Crime
585083,Hotel Transylvania: Transformania,Animation;Comedy;Family;Adventure;Fantasy
99861,Avengers: Age of Ultron,Action;Adventure;Science Fiction
1340355,Under Ninja,Action
753342,Napoleon,History;War;Romance
939099,swingers ZwingerZ,Documentary;Romance;Drama
296096,Me Before You,Drama;Romance
324544,In the Lost Lands,Action;Fantasy;Adventure
76492,Hotel Transylvania,Animation;Comedy;Family;Fantasy
539,Psycho,Horror;Thriller;Mystery
504056,Big Brother,Action;Drama;Comedy
70196,The Veteran,Action;Crime;Thriller
170,28 Days Later,Horror;Thriller;Science Fiction
102382,The Amazing Spider-Man 2,Action;Adventure;Science Fiction
218,The Terminator,Action;Thriller;Science Fiction
329865,Arrival,Drama;Science Fiction;Mystery
1492608,John Candy: I Like Me,Documentary
949,Heat,Crime;Drama;Action
575264,Mission: Impossible - Dead Reckoning Part One,Action;Adventure;Thriller
10625,Mean Girls,Drama;Comedy
857,Saving Private Ryan,Drama;History;War
957452,The Crow,Action;Fantasy;Horror
335983,Venom,Science Fiction;Action
489,Good Will Hunting,Drama
1468057,GATAO: Big Brothers,Crime;Action
298618,The Flash,Adventure;Action;Science Fiction
1319972,Don't Let's Go to the Dogs Tonight,Drama
1550223,The Time That Remains,Drama;Romance;Fantasy
